Cell,Formula
P4,"=SUMIFS(Actual!C:C,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
Q4,"=SUMIFS(Actual!D:D,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
R4,"=SUMIFS(Actual!E:E,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
S4,"=SUMIFS(Actual!F:F,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
T4,"=SUMIFS(Actual!G:G,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
U4,"=SUMIFS(Actual!H:H,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
V4,"=SUMIFS(Actual!I:I,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
W4,"=SUMIFS(Actual!J:J,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
X4,"=SUMIFS(Actual!K:K,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
Y4,"=SUMIFS(Actual!L:L,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
Z4,"=SUMIFS(Actual!M:M,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
AA4,"=SUMIFS(Actual!N:N,Actual!$A:$A,'3)Target & Cal'!$A4,Actual!$B:$B,'3)Target & Cal'!$B4)"
AB4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AB$2,FALSE)=""Shortage"",1,IFERROR(ROUND(P4/D4,4),0)),IFERROR(ROUND(P4/D4,4),0))"
AC4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AC$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Q4/E4,4),0)),IFERROR(ROUND(Q4/E4,4),0))"
AD4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AD$2,FALSE)=""Shortage"",1,IFERROR(ROUND(R4/F4,4),0)),IFERROR(ROUND(R4/F4,4),0))"
AE4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AE$2,FALSE)=""Shortage"",1,IFERROR(ROUND(S4/G4,4),0)),IFERROR(ROUND(S4/G4,4),0))"
AF4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AF$2,FALSE)=""Shortage"",1,IFERROR(ROUND(T4/H4,4),0)),IFERROR(ROUND(T4/H4,4),0))"
AG4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AG$2,FALSE)=""Shortage"",1,IFERROR(ROUND(U4/I4,4),0)),IFERROR(ROUND(U4/I4,4),0))"
AH4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AH$2,FALSE)=""Shortage"",1,IFERROR(ROUND(V4/J4,4),0)),IFERROR(ROUND(V4/J4,4),0))"
AI4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AI$2,FALSE)=""Shortage"",1,IFERROR(ROUND(W4/K4,4),0)),IFERROR(ROUND(W4/K4,4),0))"
AJ4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AP$2,FALSE)=""Shortage"",1,IFERROR(ROUND(X4/L4,4),0)),IFERROR(ROUND(X4/L4,4),0))"
AK4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AK$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Y4/M4,4),0)),IFERROR(ROUND(Y4/M4,4),0))"
AL4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AL$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Z4/N4,4),0)),IFERROR(ROUND(Z4/N4,4),0))"
AM4,"=IFERROR(IF(VLOOKUP($B4,Shortage!$A:$M,AM$2,FALSE)=""Shortage"",1,IFERROR(ROUND(AA4/O4,4),0)),IFERROR(ROUND(AA4/O4,4),0))"
AN4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AB4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AB4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AB4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AB4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AO4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AC4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AC4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AC4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AC4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AP4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AD4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AD4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AD4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AD4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AQ4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AE4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AE4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AE4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AE4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AR4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AF4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AF4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AF4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AF4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AS4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AG4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AG4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AG4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AG4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AT4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AH4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AH4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AH4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AH4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AU4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AI4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AI4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AI4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AI4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AV4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AP4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AP4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AP4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AP4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AW4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AK4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AK4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AK4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AK4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AX4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AL4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AL4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AL4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AL4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
AY4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$4:$M$4,HLOOKUP(AM4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$32:$M$32,HLOOKUP(AM4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$62:$M$62,HLOOKUP(AM4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP(""GOAL"",'2) หลักการคำนวน Table'!$D$92:$M$92,HLOOKUP(AM4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
